name,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,century,half_century,ducks,country
SR Tendulkar,1990-2012,462.0,451,41,18426,200,44.94,21366,86.23,49,96,19,IND
KC Sangakkara,2000-2015,404.0,380,41,14234,169,41.98,18048,78.86,25,93,15,SL
V Kohli,2008-2023,292.0,280,44,13848,183,58.67,14797,93.58,50,72,16,IND
RT Ponting,1995-2012,375.0,365,39,13704,164,42.03,17046,80.39,30,82,20,AUS
ST Jayasuriya,1990-2011,442.0,430,18,13390,189,32.5,14664,91.31,28,68,34,SL
DPMD Jayawardene,1998-2015,448.0,418,39,12650,144,33.37,16020,78.96,19,77,28,SL
Inzamam-ul-Haq,1991-2007,378.0,350,53,11739,137,39.52,15812,74.24,10,83,20,PAK
JH Kallis,1996-2014,328.0,314,53,11579,139,44.36,15885,72.89,17,86,17,SA
SC Ganguly,1992-2007,311.0,300,23,11363,183,41.02,15416,73.7,22,72,16,IND
R Dravid,1996-2011,344.0,318,40,10889,153,39.16,15285,71.23,12,83,13,IND
MS Dhoni,2004-2019,350.0,297,84,10773,183,50.57,12303,87.56,10,73,10,IND
RG Sharma,2007-2023,262.0,254,36,10709,264,49.12,11644,91.97,31,55,16,IND
CH Gayle,1999-2019,301.0,294,17,10480,215,37.83,12019,87.19,25,54,25,WI
BC Lara,1990-2007,299.0,289,32,10405,169,40.48,13086,79.51,19,63,16,WI
TM Dilshan,1999-2016,330.0,303,41,10290,161,39.27,11933,86.23,22,47,11,SL
Mohammad Yousuf,1998-2010,288.0,273,40,9720,141,41.71,12942,75.1,15,64,15,PAK
AC Gilchrist,1996-2008,287.0,279,11,9619,172,35.89,9922,96.94,16,55,19,AUS
AB de Villiers,2005-2018,228.0,218,39,9577,176,53.5,9473,101.09,25,53,7,SA
S Chanderpaul,1994-2011,268.0,251,40,8778,150,41.6,12408,70.74,11,59,6,WI
Saeed Anwar,1990-2003,240.0,238,18,8724,194,39.65,10809,80.71,20,43,14,PAK
Yuvraj Singh,2000-2017,304.0,278,40,8701,150,36.55,9924,87.67,14,52,18,IND
LRPL Taylor,2006-2022,236.0,220,39,8607,181,47.55,10330,83.32,21,51,9,NZ
MS Atapattu,1990-2007,268.0,259,32,8529,132,37.57,12594,67.72,11,59,13,SL
ME Waugh,1990-2002,237.0,230,20,8369,173,39.85,10900,76.77,18,50,16,AUS
Tamim Iqbal,2007-2023,243.0,240,12,8357,158,36.65,10642,78.52,14,56,19,BAN
V Sehwag,1999-2013,251.0,245,9,8273,219,35.05,7929,104.33,15,38,14,IND
HM Amla,2008-2019,181.0,178,14,8113,159,49.46,9178,88.39,27,39,4,SA
HH Gibbs,1996-2010,248.0,240,16,8094,175,36.13,9721,83.26,21,37,22,SA
Shahid Afridi,1996-2015,398.0,369,27,8064,124,23.57,6892,117.0,6,39,30,PAK
SP Fleming,1994-2007,280.0,269,21,8037,134,32.4,11242,71.49,8,49,17,NZ
MJ Clarke,2003-2015,245.0,223,44,7981,130,44.58,10104,78.98,8,58,10,AUS
Mushfiqur Rahim,2006-2024,271.0,253,42,7792,144,36.92,9771,79.74,9,49,11,BAN
EJG Morgan,2006-2022,248.0,230,34,7701,148,39.29,8447,91.16,14,47,18,IRE
Shakib Al Hasan,2006-2023,247.0,234,31,7570,134,37.29,9138,82.84,9,56,12,BAN
Shoaib Malik,1999-2019,287.0,258,40,7534,143,34.55,9199,81.9,9,44,15,PAK
PA de Silva,1990-2003,240.0,231,24,7532,145,36.38,9162,82.2,11,49,15,SL
MJ Guptill,2009-2022,198.0,195,19,7346,237,41.73,8415,87.29,18,39,16,NZ
Younis Khan,2000-2015,265.0,255,23,7249,144,31.24,9628,75.29,7,48,22,PAK
M Azharuddin,1990-2000,236.0,220,38,7126,153,39.15,9372,76.03,5,51,6,IND
NJ Astle,1995-2007,223.0,217,14,7090,145,34.92,9760,72.64,16,41,19,NZ
GC Smith,2002-2013,197.0,194,10,6989,141,37.98,8648,80.81,10,47,8,SA
WU Tharanga,2005-2019,235.0,223,17,6951,174,33.74,9155,75.92,15,37,17,SL
DA Warner,2009-2023,161.0,159,6,6932,179,45.3,7127,97.26,22,33,4,AUS
MG Bevan,1994-2004,232.0,196,67,6912,108,53.58,9320,74.16,6,46,5,AUS
KS Williamson,2010-2023,165.0,157,17,6810,148,48.64,8368,81.38,13,45,5,NZ
G Kirsten,1993-2003,185.0,185,19,6798,188,40.95,9436,72.04,13,45,11,SA
S Dhawan,2010-2022,167.0,164,10,6793,143,44.11,7436,91.35,17,39,5,IND
